Date,Adj Close,Close,High,Low,Open,Volume
,GS,GS,GS,GS,GS,GS
2000-08-29,90.25099182128906,127.4375,127.4375,121.375,121.5,2495500
2000-08-30,87.59522247314453,123.6875,126.5,123.125,125.5,2136000
2000-08-31,91.71162414550781,129.5,129.5,123.875,124.5,1394100
2000-09-01,91.80015563964844,129.625,129.8125,127.125,128.0,993800
2000-09-05,91.22471618652344,128.8125,130.0625,127.1875,128.6875,1184400
2000-09-06,90.73786163330078,128.125,132.875,127.5,128.6875,2104200
2000-09-07,91.13623809814453,128.6875,129.5,125.9375,127.875,1046800
2000-09-08,87.99359893798828,124.25,129.1875,124.0,127.5,1358800
2000-09-11,93.48208618164062,132.0,132.4375,126.3125,127.0,2718400
2000-09-12,92.99522399902344,131.3125,133.625,129.6875,132.3125,1905100
2000-09-13,91.00342559814453,128.5,130.75,127.375,129.25,1437400
2000-09-14,91.3575210571289,129.0,131.75,128.6875,129.375,1278100
2000-09-15,88.43621063232422,124.875,128.125,124.3125,128.0,1441100
2000-09-18,83.96568298339844,118.5625,124.125,117.75,124.0,2410400
2000-09-19,84.93943786621094,119.9375,121.4375,115.3125,118.5625,3284700
2000-09-20,83.56734466552734,118.0,122.9375,114.9375,121.5,2067500
2000-09-21,80.20339965820312,113.25,114.3125,111.25,114.0,2324000
2000-09-22,81.35423278808594,114.875,115.5,109.5,110.0,2382900
2000-09-25,82.50504302978516,116.5,118.6875,116.0625,116.125,1337900
2000-09-26,78.5214614868164,110.875,115.625,109.5,115.125,2032900
2000-09-27,75.82142639160156,107.0625,111.75,105.75,111.0,2008800
2000-09-28,80.02635955810547,113.0,114.5625,107.0,107.0,1891700
2000-09-29,80.77880096435547,114.0625,117.25,111.4375,111.5,2193700
2000-10-02,81.70832061767578,115.375,116.875,113.125,113.125,1258700
2000-10-03,80.64598846435547,113.875,116.875,113.0,115.625,1502600
2000-10-04,77.50337982177734,109.4375,113.5625,108.625,113.5,1757900
2000-10-05,81.35423278808594,114.875,115.9375,109.75,109.75,1853900
2000-10-06,77.10503387451172,108.875,113.625,105.4375,113.375,3625100
2000-10-09,74.53778839111328,105.25,107.625,103.6875,107.0,1612200
2000-10-10,72.72310638427734,102.6875,105.75,100.0,105.3125,2744500
2000-10-11,73.65258026123047,104.0,106.0,96.5625,99.5,5509500
2000-10-12,66.79188537597656,94.3125,104.0,94.0625,104.0,3723100
2000-10-13,71.88209533691406,101.5,102.0,94.3125,94.3125,2798700
2000-10-16,73.38700103759766,103.625,106.0625,98.5,99.75,3475400
2000-10-17,70.28862762451172,99.25,103.8125,96.25,103.375,2111700
2000-10-18,69.40339660644531,98.0,101.4375,91.875,95.5,4426400
2000-10-19,71.3053970336914,100.5625,104.4375,99.75,101.75,2322600
2000-10-20,74.40763092041016,104.9375,106.3125,99.75,100.5625,1707400
2000-10-23,72.63497161865234,102.4375,105.125,101.25,104.6875,2019600
2000-10-24,71.70426177978516,101.125,106.5,99.0,103.625,1904000
2000-10-25,68.20330047607422,96.1875,100.375,95.75,99.375,2166600
2000-10-26,65.89879608154297,92.9375,98.0,90.875,96.1875,2352000
2000-10-27,65.94316101074219,93.0,95.75,91.875,94.0,2097000
2000-10-30,68.42489624023438,96.5,98.4375,92.625,92.75,1803800
2000-10-31,70.7736587524414,99.8125,101.4375,94.1875,95.5,1863800
2000-11-01,68.55784606933594,96.6875,97.75,94.5625,96.75,2094600
2000-11-02,70.37481689453125,99.25,100.0,96.3125,97.625,1505800
2000-11-03,71.21682739257812,100.4375,101.625,99.25,99.25,1658600
2000-11-06,68.11465454101562,96.0625,99.25,96.0,98.375,1927800
2000-11-07,66.47494506835938,93.75,97.0,93.0,96.0625,1756700
2000-11-08,65.5443115234375,92.4375,93.5,90.625,92.5,2051000
2000-11-09,65.14546203613281,91.875,93.0,89.25,92.0,1845200
2000-11-10,63.23983383178711,89.1875,91.625,87.125,89.0,2604300
2000-11-13,61.24557876586914,86.375,87.9375,83.3125,86.375,3201700
2000-11-14,63.01823425292969,88.875,92.0,88.25,90.0,2167100
